timestamp,iteration,factor,verdict,baseline_sharpe,new_sharpe,improvement,baseline_return_pct,new_return_pct,trades_baseline,trades_new,events_tested,active_factors,liquidated,leveraged_dd_pct,win_rate,data_rows
2026-04-23T12:18:36.220845+00:00,1,rsi_14,NEGATIVE,6.4033,6.0555,-0.3478,213.58,190.7,4,3,17,(none),False,47.63,100.0,1372
2026-04-23T12:19:29.569420+00:00,2,macd_hist,NEGATIVE,6.4033,4.7366,-1.6666,213.58,135.38,4,3,17,(none),False,47.63,100.0,1372
2026-04-23T12:20:30.002515+00:00,4,volume_surge,NEUTRAL,6.4033,6.4033,0.0,213.58,213.58,4,4,17,(none),False,47.63,100.0,1372
2026-04-23T12:21:29.457687+00:00,6,volatility_regime,NEUTRAL,6.4033,6.4033,0.0,213.58,213.58,4,4,17,(none),False,47.63,100.0,1372
2026-04-23T12:22:29.804948+00:00,8,range_position_7d,NEUTRAL,6.4033,6.4033,0.0,213.58,213.58,4,4,17,(none),False,47.63,100.0,1372
2026-04-23T12:23:29.883477+00:00,10,gap_detect,NEUTRAL,6.4033,6.4033,0.0,213.58,213.58,4,4,17,(none),False,47.63,100.0,1372
2026-04-23T12:24:29.408907+00:00,12,atr_dynamic_stop,NEUTRAL,6.4033,6.4033,0.0,213.58,213.58,4,4,17,(none),False,47.63,100.0,1372
2026-04-23T12:25:29.723414+00:00,14,rsi_14,NEGATIVE,6.4033,6.0555,-0.3478,213.58,190.7,4,3,17,(none),False,47.63,100.0,1372
2026-04-23T12:26:29.697577+00:00,16,macd_hist,NEGATIVE,6.4033,4.7366,-1.6666,213.58,135.38,4,3,17,(none),False,47.63,100.0,1372
2026-04-23T12:27:29.534280+00:00,18,bollinger_20,NEGATIVE,6.4033,3.5071,-2.8961,213.58,82.23,4,2,17,(none),False,47.63,100.0,1372
2026-04-23T12:28:29.748994+00:00,20,volume_surge,NEUTRAL,6.4033,6.4033,0.0,213.58,213.58,4,4,17,(none),False,47.63,100.0,1372
2026-04-23T12:29:29.488278+00:00,22,pre_trend_7d,NEUTRAL,6.4033,6.4033,0.0,213.58,213.58,4,4,17,(none),False,47.63,100.0,1372
